,content,type_text
120,60 оноос хойш тэтгэвэрт гарсан. Өөрөө нас барсан 8 сая төгрөг нь НД-ын дансанд нь байдаг. Энэ хүмүүсийн даатгалын мөнгийг гэр бүлийнхэнд нь олгох боломж байдаг уу? ямар хууль тогтоомжоор шийдэгддэг юм бэ? Говь сүмбэр аймаг,Талархал
129,1111 төвийн үйл ажиллагаа их таалагдлаа. төрийн өмчийн компанид аудитын шалгалт оруулмаар байна.,Талархал
183,"mongol ulsin zasgiin gazraas shineer neej baigaa tuwiin vil ajillagaag mash ikh demjij baina.tur,ard tvmnii dund ginjin kholboo bii bolj baigaad talarkhay.",Талархал
239,Багш нарын тэтгэврийн талаар гаргасан бодлого зөв гэж үзэж байна. Орчин үеийн багш нар даварч байна.,Талархал
568,Xomiin Zasag darga Bat-Uuld zamiin tugjrliig bagasgax asuudliig shiidverlexed ontsgoi anhaaral xanduulj ajilsand bayarlalaa. avtobus xurdan yavj bidnii ajild ih tus bolj bna. tsaashid ene ajliig urgeljluulen xiine gedegt naidaj bna. Amjilt xusye!!!,Талархал
575,Дэлхийн боловсролын Академаас ярьж байна. Талархалын жуух бичиг өгөх. Та бүхэнд маш их талархаж байна.,Талархал
685,dugaariin xuviarlalttai yvuuldag ni zugeer yum bna,Талархал
873,Төр засгийн хийж байгаа зүйлд талархаж байна.Ардын намын бүлгийг арилгамаар байна. Би өөрөө Ардын намын гишүүн,Талархал
1105,Засгийн газрийн энэ хэрэгжүүлж байгаа ажлыг дэмжиж байна. Ялангуяа нэг өдөр машин явуулахгүй байх арга хэмжээ бол маш үр дүнтэй ажил байна.,Талархал
1143,ЧД-ийн 17-р хороо хогоо ачихгүй байна. Энэ тал дээр арга хэмжээ авбал зүгээр байна.,Талархал
1266,Ерөнхий сайд Алтанхуяг таньд баярлалаа Ийм төв нээсэнд.,Талархал
1500,"o.magnai darga goy nice shiidveruudig gargaj bna a. ene ercheeree baigaarai. hamgiin gol heregjilt, ur dund n anhaaraarai !!! amjilt husey",Талархал
1614,Ардын намын энэ хийж байгаа зүйлийг эсэргүйцэж байна.Ардчиллын Засгийн газрыг дэмжиж байгаа та бүхэн битгий шантраарай,Талархал
1631,Алтанхуяг дарга битгий шантраарай!!!,Талархал
1730,"""@gursuren: Засгийн 1111 төвийн санал, шүүмжлэлийг унших нь жиргээнээс илүү амьдралтай юм"" маш зөв ажил болсон. ЗГ-ын ажилд дэмтэй.",Талархал
1737,zam n shine juram zuitei bna avtnbus hurdan yavj baigaa tul mash sain ajil boljee bas magnaid bas bat uul baatart bayar hurgie,Талархал
1818,torin alban tushaltnuud tansag xereglenes tatgalzaj bgad bayrlaj bn! tanai zas.gazart amjilt xusie!,Талархал
1828,ta bvhend amjilt khvsie,Талархал
1914,zam n shine juram zuitei bna avtnbus hurdan yavj baigaa tul mash sain ajil boljee bas magnaid bas bat uul baatart bayar hurgie,Талархал
1947,shinechileliin zasgiin gazart amjilt husie,Талархал
2008,ã¯â¿â½ene zasaglalin gazart mash ih bayrlalj bna.saihan goe shineleg zvilvvdiig ih hiij bd bayrlalj bna.ushuu art tvnendee heregtei zviliig ih hiigeerei.man bo ã¯â¿â½l mash bvdvvleg bna.,Талархал
2012,Ерөнхий сайд танаа. Нааштай сайхан зүйл хийж байгаад төр засагтаа баярлаж байна.,Талархал
2019,Өвөрхангай аймгийн баруунбаян улаан сумын Гэрлийн байцаагч Нарманлах ажлаа хийхгүй ард иргэдийг доромжлоод байна. Тоггүй хэд хонож байна.,Талархал
2051,Магнайгын хийж байгаа ажлыг дэмжиж байна.Талархал илэрхийлье!!,Талархал
2072,Нээлттэй ард иргэдээ сонсох төв байгуулсанд баярлалаа.,Талархал
2111,Хүүхдийн мөнгө олгож байгаа асуудалд талархал илэрхийлье,Талархал
2220,Ерөнхий сайддаа баяр хүргэе. Увс аймгийн иргэн байна.,Талархал
2235,Эрс шинэчлэл хийж байгаад баяр хүргэе.,Талархал
2283,Дулаан цахилгааныг хотын мэдэлд авья гэж байна. Энэ маш зөв дэмжээрэй ард иргэдээ.,Талархал
2292,apchilsan namin 2 gishhin tangapag orgox n zvitei gej bodoj bn batvvl magnai ganbaatar uynga narin vil ajilig demjij bn hsinjilin zasgin gazap sain ajilj bn,Талархал
2328,huuli bus hyataduudiig albadan nutag butsaj bga ajil mash ih taalagdaj bna. huuli zvin said eronhii said nart amjilt xvsie,Талархал
2391,altanhuyg erã¯â¿â½nhii saidad bayr hvrgie ardchilalin tã¯â¿â½lã¯â¿â½ã¯â¿â½ ard tvmnii tã¯â¿â½lã¯â¿â½ã¯â¿â½ shantralgvi ajillaarai amjilt hvsie,Талархал
2424,Ta buhnii ajild amjilt husey,Талархал
2491,saihan ajil ehluulj bgaad bayarlalaa. ur dun gargah heregtei!,Талархал
2516,talarhal. eh ornii hishig enee teree mungunuus hamgiin shudraga huviarlalt bol huuhdiin mungu buh huuhduuded olgoj bga ene mungu hamgiin zuv shiidver yum. mun hun amiin usultiig demjih sain bodlogo bolj chadna gej bodoj bna,Талархал
2572,ardin nam yalagdaj sur ardchalsand amjilt husie,Талархал
2585,БШУЯ &quot;Авъяас&quot; хөтөлбөр хэрэгжүүлээд хүүхэд бүрийн дахин давтагдашгүй шинжийг хөгжүүлнэ гэж сонслоо. Ийм сайхан хөтөлбөр хэрэгжүүлж байгаад үнэхээр талархмаар байна.,Талархал
2593,erunhii said altan huyag n zasgiin gazart bayarlala nuursnii talaar zuv shiidver gargasan bna,Талархал
2643,СХДүүргийн 3-р хороо иргэн Ерөнхий сайддаа талархаж байна. Ажлын амжилт хүсье.,Талархал
2701,СБДүүргийн 13-р хорооны иргэн цахилгааны 50%-н хөнгөлөлтөнд хамрагдах гээд 6 хоног хөөцөлдөж байна. Хүнд сурталтай ажиллаж байна. Адьяатөмөр гэдэг менежер удаа дараа олон дахин явуулж байна.,Талархал
2757,awtobusiig neg dvgeer egneegeer yawuulaxiig demjij bn vrgeljlvvlj yawularai,Талархал
2807,"БГДүүргийн татвар алба санхүүгийн алба нь тайлан өгч байгаа хүмүүс 20-ны дотор цахимаа өгсөн. Алдаагаа засах гэхээр системээс болоод  болохгүй байсан. Хэлэхээр залруулж болно гэсэн. Илгээхээр зөвхөн 1-г чагталж авсан. нөгөө 4-г нь чагтлаагүй байсаар байгаад хүлээж аваагүй.Одоо болохоор болохгүй 200,0мянган төгрөгийн татвараа төл гээд байна. Хоцорсон байна гээд татвараа төл гээд байна. Гомдолтой байна.",Талархал
2882,Замын цагдаа нарын ажилд талархал илэрхийлье. Тэдний амьдрах ажиллах нөхцөлд нийгмийн асуудал яаж шийдэгдэж байна.,Талархал
2941,Ерөнхий сайдад талархал илэрхийлэв.,Талархал
2958,Шинэчлэлийн засгийн газар байгуулагдсанд баяр хүргэе. Өө гаргахгүй алдаа гаргахгүй сайн ажиллаараа.,Талархал
3181,шинэчлэлийн засгийн газрын хэрэгжүүлж байгаа эдгээр ажилуудад сэтгэл хангалуун байгаагаа хэлэхийг хүссэн юм. та бүгдэд амжилт хүсч байна баяралалаа thanks,Талархал
3284,ШӨХТГ дарга О.Магнай ажлаа сайн хийж байгаад баярлалаа.,Талархал
3308,ardchilsan nam songuulid ylj zohih ur duntei ajil hiij ajillaj bgaad talarhaj bna ta buhend amiilt husii tsaashidaa shamtralgui zutgeed bgaarai,Талархал
3403,Тууштай гоё ажилж байгаад баяр хүргэе. Энэ эрчээрээ сайн ажлаарай,Талархал
3432,Үе үеийн сайд нараас Алтанхуяг сайд маш сайн ажиллаж байна. Үнэхээр баярлаж байна. Зоригтой байгаарай.,Талархал
3582,"Хотын даргад талархал илэрхийлье. 40 мянгат, Улсын Их Дэлгүүрийн урд талын Энхтайвны өргөн чөлөөний явган хүний 2 гарцыг 1 болгон гэрлэн дохи тавьсанд талархал илэрхийлье.",Талархал
3583,"Хотын даргад, тамхины тухай",Талархал
3633,"Хүн амын хөгжил, нийгмийн хамгааллын сайд С.Эрдэнэ таньд:
Сайн байна уу сайд аа? Юуны өмнө таньд талархсан сэтгэлээ илэрхийлмээр байна.  Би таньд жирэмсний эмнэлгийн хуудасны талаар хандсан иргэн байна. Жирийн иргэн миний хүсэлтийг хүлээн авч холбогдох газруудтай холбон өгч надад маш их туслалцаа үзүүлсэн таньд болон танай яамны хамт олонд маш их баярлалаа. Би өнөөдөр эмнэлгийн хуудсаа бичүүлж ажил дээрээ аваачиж өгөөд талархлаа бичиж сууна. Шинэчлэлийн засгийн газар үнэхээр жирийн иргэндээ хүрч үйлчилж чадаж байгаагийн тод жишээ энэ боловуу. Танай яамны хамт олон намайг өргөдлөө бичиж өгөх холбогдох газруудтай холбож өгөх зэрэгт их найрсаг, шуурхай хандаж байсан.Би яаманд өргөдөл өгөхдөө эхлээд нэрнээс нь их айж байсан. Ийм том газарт жирийн нэг иргэний асуудал ямар хамаатай юм бэ? тэгээд дарга, мэргэжилтэн нар нь  их дээд зиндааны хүмүүс байдаг байх, над мэтийн хүнтэй юм ярих юм боловуу гэх мэтээр их л эргэлзэж байж өргөдөл бичиж байсан. Төр засаг маань өөрчлөгдөн шинэчлэгдэж иргэнийхээ эрх ашгийг дээдэлсэн, иргэдээ сонсож чаддаг төртэй болж байна гэж бодоход сэтгэл их хангалуун байна. Сайд таны цаашдын ажилд өндөр амжилт хүсэн ерөөе.  МАШ ИХ БАЯРЛАЛАА САЙДАА.",Талархал
3713,"Боловсрол, Шинжлэх уханы сайд Л.Гантөмөр танаа. Хандивын тухай.",Талархал
3831,Хууль зүйн яамны сайд Тэмүүжин таньд баяр хүргэмээр байна.Хийж байгаа зүйлийг дэмжиж байна.Олон түмний төлөө зүтгэх хэрэгтэй битгий шатраарай.,Талархал
3842,шинэчилэлийн засгийн газарын ажилд амжилт хусье,Талархал
3959,Sain baitsgaana uu? shinechleliin zasgiinxaan. ta buhend amjilt husie.,Талархал
4009,bathv zorigt nara tangarag orgvlech luiwarchdas yunda aigad bga ym be enhbold darga eronhi saidad bayr hvrge ta shv 1temvjin said shinechleliin bodlogo mash sain tolowloj hij ch bna huuli zvin said olon jil ontsgvi dorwod bsan bolohor berhshel garna bitgi shantrarai mon 1golin zaluchud ervl tarhitai bvhen demjij bna uragsha amjilt,Талархал
4174,hi shinchelii zasgiin gazartaa bayr xvrgie dorivtoi yumnuudiig xiij bna shv ard tvmen ix am saitai bna shv . ard tvmniixee xairiig daaj oshoo tom tom dorivtoi ajiluudiig ard tvmniixee toloo xiix yum bol ! irex songuuld 99 xuivtai songogdox bx gej itgej bna shv ta bvxend ajilii amjilt sain saixaniig xvsen erooe. amjilt,Талархал
